"building_room","comments","course_title","credit","crn","day_time","find_books_id","from_to","instructor","section","status","subject","xlist_id"
"1957 E 111","Comments: Department approval required to register. Registration restricted to CS majors and minors, in junior or senior status. Go to the following website, following the instructions, and complete the Registration Issues Form. URL: https://www.cs.seas.gwu.edu/course-registration-information","Natural Language Understanding","3.00","46512","T 12:45PM - 03:15PM","Find Books for CSCI 4907.82","01/12/26 - 04/27/26","Zirikly, A","82","OPEN","CSCI 4907",""
"","Comments: Fill out the Registration form Require: https://cs.engineering.gwu.edu/course-registration-information; CSCI 3411 is the prereq URL: https://www.cs.seas.gwu.edu/course-registration-information","Adv Topic; Operating Systems","3.00","46513","","Find Books for CSCI 4907.83","01/12/26 - 04/27/26","","83","CANCELLED","CSCI 4907","Cross Listed Courses for CSCI 4907.83"
"SEH 1450","Comments: Department approval required to register. Senior CS majors given priority. Go to the following website, following the instructions, and complete the Registration Issues Form. URL: https://www.cs.seas.gwu.edu/course-registration-information","Data Mgt Sys for DataAnalytics","3.00","46357","M 06:10PM - 08:40PM","Find Books for CSCI 4907.84","01/12/26 - 04/27/26","Mendenhall, A","84","WAITLIST","CSCI 4907","Cross Listed Courses for CSCI 4907.84"
"1776 G C-103","Comments: Registration restricted to Computer Science majors and minors. Course prerequisite: CSCI 2113.","Big Data & Analytics","3.00","46595","T 06:10PM - 08:40PM","Find Books for CSCI 4907.85","01/12/26 - 04/27/26","Omrani Sabbaghi, S","85","WAITLIST","CSCI 4907","Cross Listed Courses for CSCI 4907.85"
"GELM 642 AND GELM B103","Comments: Registration restricted to undergraduate Computer Science majors and minors only. Undergraduate students are required to have taken CSCI 3411","Design of Autonomous Systems","3.00","46547","TR 12:45PM - 02:00PM AND TR 02:30PM - 03:20PM","Find Books for CSCI 4907.86","01/12/26 - 04/27/26","Mohan, S","86","OPEN","CSCI 4907","Cross Listed Courses for CSCI 4907.86"
"TOMP 307","Comments: Please fill out the CS registration form: https://cs.engineering.gwu.edu/course-registration-information","Advanced Topics in Computer Science","3.00","47499","F 12:45PM - 03:15PM","Find Books for CSCI 4907.87","01/12/26 - 04/27/26","Mehrabian, A; Hamidian, S","87","OPEN","CSCI 4907","Cross Listed Courses for CSCI 4907.87"
"","Comments: Restricted to Computer Science Master's Degree students with a statement in their admissions letter requiring them to take this course.","Introduction to Computer Systems and Algorithm Analysis","3.00","41076","","Find Books for CSCI 6011.10","01/12/26 - 04/27/26","","10","CANCELLED","CSCI 6011",""
"GELM B108","Comments: Registration restricted to Computer Science graduate students only.","Design and Analysis of Algorithms","3.00","45095","M 03:30PM - 06:00PM","Find Books for CSCI 6212.10","01/12/26 - 04/27/26","Youssef, A","10","OPEN","CSCI 6212",""
"MON B33","Comments: Registration restricted to Computer Science graduate students only.","Advanced Software Paradigms","3.00","46178","W 06:10PM - 08:40PM","Find Books for CSCI 6221.10","01/12/26 - 04/27/26","Hwang, Y","10","OPEN","CSCI 6221",""
"","Comments: Registration restricted to Computer Science graduate students only.","Advanced Software Paradigms","3.00","45585","","Find Books for CSCI 6221.11","01/12/26 - 04/27/26","","11","CANCELLED","CSCI 6221",""
